Obstacle	Distance	Speed	Steer
0	0	0.66665	0.66665
0	0.01	0.666583	0.66665
0	0.02	0.666381	0.66665
0	0.03	0.666042	0.66665
0	0.04	0.665564	0.66665
0	0.05	0.664945	0.66665
0	0.06	0.664184	0.66665
0	0.07	0.663279	0.66665
0	0.08	0.66223	0.66665
0	0.09	0.661035	0.66665
0	0.1	0.659692	0.66665
0	0.11	0.658202	0.66665
0	0.12	0.656563	0.66665
0	0.13	0.654775	0.66665
0	0.14	0.652838	0.66665
0	0.15	0.650751	0.66665
0	0.16	0.648514	0.66665
0	0.17	0.646129	0.66665
0	0.18	0.643595	0.66665
0	0.19	0.640912	0.66665
0	0.2	0.638083	0.66665
0	0.21	0.635109	0.66665
0	0.22	0.631989	0.66665
0	0.23	0.628728	0.66665
0	0.24	0.625325	0.66665
0	0.25	0.621785	0.66665
0	0.26	0.618108	0.66665
0	0.27	0.614298	0.66665
0	0.28	0.610358	0.66665
0	0.29	0.606291	0.66665
0	0.3	0.602101	0.66665
0	0.31	0.597792	0.66665
0	0.32	0.593367	0.66665
0	0.33	0.58883	0.66665
0	0.34	0.584188	0.66665
0	0.35	0.579443	0.66665
0	0.36	0.574602	0.66665
0	0.37	0.56967	0.66665
0	0.38	0.564652	0.66665
0	0.39	0.559554	0.66665
0	0.4	0.554382	0.66665
0	0.41	0.549141	0.66665
0	0.42	0.543839	0.66665
0	0.43	0.538482	0.66665
0	0.44	0.533076	0.66665
0	0.45	0.527628	0.66665
0	0.46	0.522145	0.66665
0	0.47	0.516633	0.66665
0	0.48	0.511101	0.66665
0	0.49	0.505554	0.66665
0	0.5	0.5	0.66665
0	0.51	0.494446	0.66665
0	0.52	0.488899	0.66665
0	0.53	0.483367	0.66665
0	0.54	0.477855	0.66665
0	0.55	0.472372	0.66665
0	0.56	0.466924	0.66665
0	0.57	0.461518	0.66665
0	0.58	0.456161	0.66665
0	0.59	0.450859	0.66665
0	0.6	0.445618	0.66665
0	0.61	0.440446	0.66665
0	0.62	0.435348	0.66665
0	0.63	0.43033	0.66665
0	0.64	0.425398	0.66665
0	0.65	0.420557	0.66665
0	0.66	0.415812	0.66665
0	0.67	0.41117	0.66665
0	0.68	0.406633	0.66665
0	0.69	0.402208	0.66665
0	0.7	0.397899	0.66665
0	0.71	0.393709	0.66665
0	0.72	0.389642	0.66665
0	0.73	0.385702	0.66665
0	0.74	0.381892	0.66665
0	0.75	0.378215	0.66665
0	0.76	0.374675	0.66665
0	0.77	0.371272	0.66665
0	0.78	0.368011	0.66665
0	0.79	0.364891	0.66665
0	0.8	0.361917	0.66665
0	0.81	0.359088	0.66665
0	0.82	0.356405	0.66665
0	0.83	0.353871	0.66665
0	0.84	0.351486	0.66665
0	0.85	0.349249	0.66665
0	0.86	0.347162	0.66665
0	0.87	0.345225	0.66665
0	0.88	0.343437	0.66665
0	0.89	0.341798	0.66665
0	0.9	0.340308	0.66665
0	0.91	0.338965	0.66665
0	0.92	0.33777	0.66665
0	0.93	0.336721	0.66665
0	0.94	0.335816	0.66665
0	0.95	0.335055	0.66665
0	0.96	0.334436	0.66665
0	0.97	0.333958	0.66665
0	0.98	0.333619	0.66665
0	0.99	0.333417	0.66665
0.01	0	0.66665	0.666583
0.01	0.01	0.666583	0.666583
0.01	0.02	0.666381	0.666583
0.01	0.03	0.666042	0.666583
0.01	0.04	0.665564	0.666583
0.01	0.05	0.664945	0.666583
0.01	0.06	0.664184	0.666583
0.01	0.07	0.663279	0.666583
0.01	0.08	0.66223	0.666583
0.01	0.09	0.661035	0.666583
0.01	0.1	0.659692	0.666583
0.01	0.11	0.658202	0.666583
0.01	0.12	0.656563	0.666583
0.01	0.13	0.654775	0.666583
0.01	0.14	0.652838	0.666583
0.01	0.15	0.650751	0.666583
0.01	0.16	0.648514	0.666583
0.01	0.17	0.646129	0.666583
0.01	0.18	0.643595	0.666583
0.01	0.19	0.640912	0.666583
0.01	0.2	0.638083	0.666583
